user_input,reference_contexts,reference,synthesizer_name
2020년부터 2023년까지 BlackRock이 최대 주주로 있는 회사의 재무 현황과 BlackRock의 역할에 대해 자세히 알려주세요.,"['| 연도 | 수익 (백만 USD) | 순이익 (백만 USD) | 총 자산 (백만 USD) |\n| ---- | --------------- | ----------------- | ------------------ |\n| 2020 | 0               | -1,018            | 4,602              |\n| 2021 | 55              | -4,688            | 22,294             |\n| 2022 | 1,658           | -6,752            | 17,876             |\n| 2023 | 4,434           | -5,432            | 16,778             |\n\n**최대 주주**\n\n2023년 12월 현재 최대 주주는 Amazon, T. Rowe Price International, The Vanguard Group, BlackRock 및 Fidelity Investments였습니다.\n\n**협력**\n\nRivian은 Alex Honnold, the Honnold Foundation, Casa Pueblo, Ewan McGregor, Charley Boorman, Yakima 및 MAXTRAX와 파트너십을 맺었습니다.\n\n**소송**']","2023년 12월 현재 BlackRock은 최대 주주 중 하나로, Amazon, T. Rowe Price International, The Vanguard Group, Fidelity Investments와 함께 이름을 올리고 있습니다. 해당 회사의 재무 현황을 보면, 2020년부터 2023년까지 수익은 0백만 USD에서 4,434백만 USD로 증가했으나, 순이익은 계속해서 적자를 기록하여 2023년에는 -5,432백만 USD였습니다. 총 자산은 2021년 22,294백만 USD로 최고치를 기록한 후 2023년에는 16,778백만 USD로 감소했습니다.",single_hop_specifc_query_synthesizer
What was the reson the Illinoise Automobile Dealers Association filed a lawsuit in 2021?,"['- 2020년 7월, Tesla는 Rivian이 독점 정보를 훔치고 직원을 빼갔다고 주장하며 소송을 제기했습니다.\n- 2021년 3월, Illinois Automobile Dealers Association은 Rivian과 Lucid Motors가 소비자에게 직접 판매했다는 이유로 소송을 제기했습니다.\n- 2021년 11월, 전 VP Laura Schwab은 차별 혐의로 소송을 제기하고 차량 가격 책정 및 안전 표준에 대한 우려를 제기했습니다.']","2021년 3월, Illinois Automobile Dealers Association은 Rivian과 Lucid Motors가 소비자에게 직접 판매했다는 이유로 소송을 제기했습니다.",single_hop_specifc_query_synthesizer
Tesla Motors 설립에 있어 Marc Tarpenning의 역할은 무엇입니까?,"['Tesla, Inc.는 미국의 다국적 자동차 및 청정 에너지 회사입니다. 이 회사는 전기 자동차(BEV), 고정형 배터리 에너지 저장 장치, 태양 전지판, 태양광 지붕널 및 관련 제품/서비스를 설계, 제조 및 판매합니다. 2003년 7월 Martin Eberhard와 Marc Tarpenning이 Tesla Motors로 설립했으며, Nikola Tesla를 기리기 위해 명명되었습니다. Elon Musk는 2004년 Tesla의 초기 자금 조달을 주도하여 2008년에 회장 겸 CEO가 되었습니다.']","Tesla Motors는 2003년 7월 Martin Eberhard와 Marc Tarpenning에 의해 설립되었으며, Marc Tarpenning은 공동 창립자 중 한 명입니다.",single_hop_specifc_query_synthesizer
Tesla Roadster when start make?,"['Tesla의 차량 생산은 2008년 Roadster로 시작하여 Model S (2012), Model X (2015), Model 3 (2017), Model Y (2020), Semi (2022) 및 Cybertruck (2023)으로 이어졌습니다. 이 회사는 세계에서 가장 가치 있는 회사 중 하나이며 2020년 7월 이후 가장 가치 있는 자동차 제조업체입니다. Tesla는 2021~2022년, 그리고 2024년에 다시 한 번 한때 1조 달러의 가치를 달성했습니다. 2023년에는 배터리 전기 자동차 시장에서 가장 큰 점유율(19.9%)을 차지했으며 Forbes Global 2000에서 69위에 랭크되었습니다.']",Tesla의 차량 생산은 2008년 Roadster로 시작되었습니다.,single_hop_specifc_query_synthesizer
Marc Tarpenning은 Tesla에서 어떤 역할을 맡았습니까?,"['Tesla는 내부 고발자 보복, 근로자 권리 침해, 안전 결함, 홍보 부족, Musk의 논란의 여지가 있는 발언과 관련된 소송, 정부 조사 및 비판에 직면했습니다.\n\n## 역사\n\n### 창립 (2003–2004)\n\nTesla Motors, Inc.는 2003년 7월 1일에 Martin Eberhard와 Marc Tarpenning에 의해 설립되었으며, 각각 CEO와 CFO를 역임했습니다. Ian Wright는 얼마 지나지 않아 합류했습니다. 2004년 2월, Elon Musk는 750만 달러의 시리즈 A 자금 조달을 주도하여 회장 겸 최대 주주가 되었습니다. J. B. Straubel은 2004년 5월 CTO로 합류했습니다. 다섯 명 모두 공동 설립자로 인정받고 있습니다.\n\n### Roadster (2005–2009)']","Marc Tarpenning은 2003년 7월 1일 Tesla Motors, Inc.를 Martin Eberhard와 함께 설립했으며, 회사에서 CFO(최고재무책임자)를 역임했습니다.",single_hop_specifc_query_synthesizer
Musk는 테슬라 초창기 경영진 교체 과정에서 어떤 역할을 했습니까?,"[""Elon Musk는 주류 차량으로 확장하기 전에 프리미엄 스포츠카로 시작하는 전략에 초점을 맞춰 적극적인 역할을 수행했습니다. 후속 자금 조달에는 Valor Equity Partners (2006)와 Sergey Brin, Larry Page, Jeff Skoll과 같은 기업가의 투자가 포함되었습니다.\n\n2007년 8월, Eberhard는 CEO에서 물러나라는 요청을 받았고, Tarpenning은 2008년 1월에 이어졌습니다. Michael Marks는 Ze'ev Drori가 인수하기 전에 임시 CEO를 역임했으며, Musk는 2008년 10월에 인수했습니다. Eberhard는 2009년 6월 Musk를 상대로 소송을 제기했지만 나중에 기각되었습니다.""]","Elon Musk는 2008년 10월에 테슬라를 인수했으며, 그 이전에 Michael Marks가 임시 CEO를 역임했고, Eberhard는 2007년 8월에 CEO 자리에서 물러나라는 요청을 받았습니다. 이후 Eberhard는 2009년 6월 Musk를 상대로 소송을 제기했으나 나중에 기각되었습니다.",single_hop_specifc_query_synthesizer
Tesla가 2010년 NASDAQ 상장으로 조달한 금액은 얼마입니까?,"['Roadster 생산은 2008년에 시작되었습니다. 2009년 1월까지 Tesla는 1억 8,700만 달러를 모금하고 147대의 자동차를 인도했습니다. 2009년 6월, Tesla는 미국 에너지부로부터 4억 6,500만 달러의 대출을 받았으며, 2013년 5월에 이자와 함께 상환했습니다.\n\n### IPO, Model S 및 Model X (2010–2015)\n\n2010년 5월, Tesla는 캘리포니아 주 프리몬트의 NUMMI 공장을 Toyota로부터 인수했습니다. 이 회사는 2010년 6월 NASDAQ에 상장하여 2억 2,600만 달러를 조달했습니다.']","Tesla는 2010년 6월 NASDAQ에 상장하여 2억 2,600만 달러를 조달했습니다.",single_hop_specifc_query_synthesizer
Tesla가 전기차 시장에서 Model S를 통해 달성한 주요 성과는 무엇입니까?,"['Tesla는 2012년 6월 Model S 고급 세단을 출시했습니다. Model S는 여러 자동차 상을 받았으며 노르웨이(2013년 9월)와 전 세계(2015년 및 2016년)에서 가장 많이 팔린 전기 자동차가 되었습니다. Tesla는 2013년 7월 NASDAQ-100에 합류했습니다.\n\n2014년, Tesla는 운전자 지원 시스템인 Autopilot을 발표했습니다. Tesla는 2015년 4월 Powerwall 및 Powerpack과 함께 에너지 저장 시장에 진출하여 일주일 만에 8억 달러의 주문을 받았습니다. Model X SUV는 2015년 9월에 출시되었습니다.\n\n### SolarCity 및 Model 3 (2016–2018)']","Tesla는 2012년 6월에 Model S 고급 세단을 출시했으며, 이 차량은 여러 자동차 상을 수상했습니다. 또한 Model S는 2013년 9월 노르웨이에서, 그리고 2015년과 2016년에 전 세계에서 가장 많이 팔린 전기 자동차가 되었습니다.",single_hop_specifc_query_synthesizer
"Tesla의 CEO인 Musk는 2018년 8월에 Tesla를 비상장 회사로 전환하려는 계획을 발표했는데, 이 계획이 어떤 결과를 초래했으며 그 이후 Tesla의 주요 성과는 무엇입니까?","['Tesla는 2016년 11월 SolarCity를 26억 달러에 인수하여 Tesla Energy를 설립했습니다. 2017년 2월, Tesla Motors는 사명을 Tesla, Inc.로 변경했습니다.\n\nModel 3 세단은 2016년 4월에 공개되어 일주일 만에 325,000건 이상의 예약이 접수되었습니다. ""생산 지옥""으로 묘사된 생산 문제로 인해 지연이 발생했습니다. 2018년 말까지 Model 3는 세계에서 가장 많이 팔린 전기 자동차(2018-2021)가 되었습니다. 2018년 8월, Musk는 Tesla를 비상장으로 전환할 계획을 발표했지만 실현되지 않았고 논란과 SEC의 증권 사기 혐의로 이어졌습니다.\n\n### 글로벌 확장 및 Model Y (2019–현재)']","2018년 8월, Musk는 Tesla를 비상장으로 전환할 계획을 발표했으나 이 계획은 실현되지 않았고, 논란과 함께 미국 증권거래위원회(SEC)의 증권 사기 혐의로 이어졌습니다. 그럼에도 불구하고, 2018년 말까지 Model 3는 세계에서 가장 많이 팔린 전기 자동차가 되었으며, Tesla는 2016년 11월 SolarCity를 인수하여 Tesla Energy를 설립하고, 2017년 2월에는 사명을 Tesla Motors에서 Tesla, Inc.로 변경하는 등 글로벌 확장과 제품 다각화에 성공했습니다.",single_hop_specifc_query_synthesizer
Tesl의 Model Y 배송은 언제 시작되었나요?,"['2019년 7월부터 2020년 6월까지 Tesla는 4분기 연속 흑자를 보고했으며 S&P 500에 추가되었습니다. 2020년에는 주가가 크게 상승했으며 시가 총액은 다음 9개의 대형 자동차 제조업체를 합친 것보다 많았습니다.\n\nModel Y 중형 크로스오버 SUV는 2019년 3월에 소개되었으며 배송은 2020년 3월에 시작되었습니다. Tesla는 Gigafactory Shanghai (2019), Gigafactory Berlin (2020) 및 Gigafactory Texas (2020)로 생산 능력을 확장했습니다.']",Model Y 중형 크로스오버 SUV는 2019년 3월에 소개되었으며 배송은 2020년 3월에 시작되었습니다.,single_hop_specifc_query_synthesizer
"Gigafactory Texas가 Tesla의 법적 본사 이전에 어떤 역할을 했으며, 이와 관련된 Tesla의 최근 미국 내 사업 확장 동향은 무엇입니까?","['2023년 3월, Tesla는 잠재적인 관세 영향으로 인해 지연된 Gigafactory Mexico에 대한 계획을 발표했습니다. COVID-19 팬데믹 초기에 Tesla는 2020년 3월에 프리몬트 공장을 폐쇄하고 지방 당국과의 분쟁 후 2020년 5월 11일에 재개장했습니다. Tesla는 2021년 12월에 법적 본사를 Gigafactory Texas로 이전했지만 Megafactory (2022)와 Palo Alto의 글로벌 엔지니어링 본사(2023)로 캘리포니아에서의 입지를 확장했습니다.']","Tesla는 2021년 12월에 법적 본사를 Gigafactory Texas로 이전했습니다. 이와 동시에 Tesla는 2022년에 Megafactory를 설립하고, 2023년에는 Palo Alto에 글로벌 엔지니어링 본사를 두어 캘리포니아에서의 입지를 확장하는 등 미국 내 사업을 적극적으로 확장하고 있습니다.",single_hop_specifc_query_synthesizer
Tesla Cybertruck 배송 언제 시작했어요 그리고 2024년에 Tesla 회사 무슨 큰 변화 있었나요 자세히 알려주세요?,"['2021년 초, Tesla는 Bitcoin에 15억 달러를 투자하고 환경 문제로 인해 중단하기 전에 잠시 결제 수단으로 허용했습니다. 2022년 7월까지 Tesla는 Bitcoin 보유량의 약 75%를 매각했습니다. 2023년 5월과 2024년 2월 사이에 북미 EV 제조업체는 Tesla의 북미 충전 표준으로 전환할 계획을 발표했습니다.\n\n2023년 11월, Tesla는 Cybertruck 배송을 시작했습니다. 2024년 4월, 회사는 직원 10% 감축을 발표하고 6월에 법인 설립지를 델라웨어에서 텍사스로 이전했습니다. 2024년 10월, Tesla는 미래의 차량 호출 서비스인 Tesla Network를 위해 Cybercab 및 Robovan의 컨셉 버전을 공개했습니다.']","Tesla는 2023년 11월에 Cybertruck 배송을 시작했습니다. 2024년 4월에는 직원 10% 감축을 발표했고, 6월에는 법인 설립지를 델라웨어에서 텍사스로 이전했습니다. 또한 2024년 10월에는 미래 차량 호출 서비스인 Tesla Network를 위해 Cybercab 및 Robovan의 컨셉 버전을 공개했습니다.",single_hop_specifc_query_synthesizer
Elon Musk의 560억 달러 급여 패키지가 왜 델라웨어 법원에서 거부되었나요?,"['2024년 12월, 델라웨어 법원은 부적절한 이사회 승인을 이유로 Elon Musk의 560억 달러 급여 패키지를 거부했습니다.\n\n## 자동차 제품 및 서비스\n\n2024년 11월 현재 Tesla는 Model S, Model X, Model 3, Model Y, Semi 및 Cybertruck의 6가지 차량 모델을 제공합니다. 다음은 Tesla 모델 목록입니다.']","2024년 12월, 델라웨어 법원은 부적절한 이사회 승인을 이유로 Elon Musk의 560억 달러 급여 패키지를 거부했습니다.",single_hop_specifc_query_synthesizer
Wht is the seeting capactiy of Model X?,['| Tesla 모델 |          |       |                  |\n| :--------- | :------- | :---- | :--------------- |\n| 이름       | 제조년도 | 좌석  | 참고             |\n| Roadster   | 2008     | 2     | 2012년에 단종    |\n| Model S    | 2012     | 5/7   |                  |\n| Model X    | 2015     | 5/6/7 |                  |\n| Model 3    | 2017     | 5     |                  |\n| Model Y    | 2020     | 5/7   |                  |\n| Semi       | 2022     | 2     |                  |\n| Cybertruck | 2023     | 5     |                  |\n| Roadster 2 |          | 2/4   | 2025년 출시 예정 |\n| Cybercab   |          | 2     | 2026년 출시 예정 |\n| Robovan    |          | 20    | 명시된 기간 없음 |\n\n### 사용 가능한 제품'],"Model X는 2015년에 제조되었으며 좌석 수는 5, 6, 또는 7석으로 구성될 수 있습니다.",single_hop_specifc_query_synthesizer
테슬라 전기차에서 듀얼 모터는 어떤 모델에 적용되나요?,"['- **Model S:** 리프트백 차체 스타일과 듀얼 모터, 전륜 구동 레이아웃을 갖춘 풀사이즈 고급차. Model S 개발은 2007년 이전에 시작되었으며 배송은 2012년 6월에 시작되었습니다.\n- **Model X:** 듀얼 모터 또는 트리 모터, 전륜 구동 레이아웃을 갖춘 5인승, 6인승 및 7인승 구성으로 제공되는 중형 고급 크로스오버 SUV. 뒷좌석 승객 문은 관절형 ""팔콘 윙"" 디자인으로 수직으로 열립니다. Model X 프로토타입은 2012년 2월에 처음 공개되었으며 배송은 2015년 9월에 시작되었습니다.']","듀얼 모터는 테슬라의 Model S와 Model X에 적용됩니다. Model S는 리프트백 차체 스타일과 듀얼 모터, 전륜 구동 레이아웃을 갖춘 풀사이즈 고급차이며, Model X는 듀얼 모터 또는 트리 모터, 전륜 구동 레이아웃을 갖춘 중형 고급 크로스오버 SUV입니다.",single_hop_specifc_query_synthesizer
Model 3 프로토타입은 2016년에 언제 처럼 공개되었나요?,"['- **Model 3:** 패스트백 차체 스타일과 듀얼 모터, 전륜 구동 레이아웃 또는 후륜 모터, 후륜 구동 레이아웃을 갖춘 중형차. 이 차량은 고급 Model S 세단보다 저렴하도록 설계되었습니다. Model 3 프로토타입은 2016년에 처음 공개되었으며 일주일 만에 325,000건 이상의 유료 예약이 접수되었습니다.']","Model 3 프로토타입은 2016년에 처음 공개되었으며, 공개된 지 일주일 만에 325,000건 이상의 유료 예약이 접수되었습니다.",single_hop_specifc_query_synthesizer
"Tesla, Inc. make what truck?","['- **Model Y:** 싱글 모터, 후륜 구동 또는 듀얼 모터, 전륜 구동 레이아웃을 갖춘 5인승 및 7인승 구성으로 제공되는 중형 크로스오버 SUV. 이 차량은 고급 Model X SUV보다 저렴하도록 설계되었습니다. Model Y 프로토타입은 2019년 3월에 처음 공개되었으며 배송은 2020년 3월에 시작되었습니다.\n- **Tesla Semi:** Tesla Semi는 Tesla, Inc.의 클래스 8 세미 트럭으로, 트리 모터, 후륜 구동 레이아웃을 갖추고 있습니다. Tesla는 Semi가 일반적인 디젤 세미 트럭보다 약 3배 더 강력하고 주행 거리가 500마일(800km)이라고 주장합니다. 초기 배송은 2022년 12월 1일에 PepsiCo에 이루어졌습니다.']","Tesla Semi는 Tesla, Inc.의 클래스 8 세미 트럭으로, 트리 모터, 후륜 구동 레이아웃을 갖추고 있습니다. Tesla는 Semi가 일반적인 디젤 세미 트럭보다 약 3배 더 강력하고 주행 거리가 500마일(800km)이라고 주장합니다. 초기 배송은 2022년 12월 1일에 PepsiCo에 이루어졌습니다.",single_hop_specifc_query_synthesizer
2019년 11월에 발표된 사이버트럭의 주요 모델은 무엇입니까?,"['- **Cybertruck:** 2019년 11월에 처음 발표된 풀사이즈 픽업 트럭. 후륜 구동, 듀얼 모터 전륜 구동, 트리 모터 전륜 구동의 세 가지 모델이 제공됩니다.']","2019년 11월에 처음 발표된 사이버트럭은 후륜 구동, 듀얼 모터 전륜 구동, 트리 모터 전륜 구동의 세 가지 모델로 제공됩니다.",single_hop_specifc_query_synthesizer
Robovan 이란 무엇이며 어떤 특징을 가지고 있나요?,"['### 발표된 제품\n\n- **Roadster (2세대):** 2017년에 공개되었으며 620마일(1,000km)의 주행 거리와 고성능 사양을 갖춘 것으로 알려져 있습니다. 2025년에 생산 예정입니다.\n- **Tesla 차세대 차량:** 2025년 상반기에 배송될 것으로 예상되는 발표된 배터리 전기 플랫폼.\n- **Cybercab:** 출시 예정인 2인승 배터리 전기 자율 주행차.\n- **Robovan:** 미래 개발을 위해 계획된 전기 자율 밴.\n\n### 단종\n\n- **Tesla Roadster:** 2008년부터 2012년까지 생산된 2인승 스포츠카.\n\n### 연결 서비스']",Robovan은 미래 개발을 위해 계획된 전기 자율 밴입니다.,single_hop_specifc_query_synthesizer
"Tesla 자동차의 내비게이션 시스템에서 제공되는 ""표준 연결""과 ""프리미엄 연결""의 차이점은 무엇이며, 각각 어떤 기능을 포함하고 있습니까?","['Tesla 자동차에는 내비게이션을 위한 ""표준 연결""이 함께 제공됩니다. ""프리미엄 연결""은 구독료로 실시간 교통 정보, 위성 지도, 인터넷 검색 및 미디어 스트리밍을 추가합니다.\n\n### 차량 서비스']","Tesla 자동차에는 내비게이션을 위한 ""표준 연결""이 기본으로 제공됩니다. 여기에 ""프리미엄 연결""을 구독하면 실시간 교통 정보, 위성 지도, 인터넷 검색 및 미디어 스트리밍과 같은 추가 기능을 이용할 수 있습니다.",single_hop_specifc_query_synthesizer
"Elon Musk 가 Tesla 의 초기 창립 과정에서 어떤 역할 했고, 2024 년 델라웨어 법원에서 그의 급여 패키지에 대해 어떤 결정이 있었는지 자세히 설명해 주세요. Elon Musk 관련 역사와 법적 이슈를 포함해서 알려주세요.","['<1-hop>\n\nTesla는 내부 고발자 보복, 근로자 권리 침해, 안전 결함, 홍보 부족, Musk의 논란의 여지가 있는 발언과 관련된 소송, 정부 조사 및 비판에 직면했습니다.\n\n## 역사\n\n### 창립 (2003–2004)\n\nTesla Motors, Inc.는 2003년 7월 1일에 Martin Eberhard와 Marc Tarpenning에 의해 설립되었으며, 각각 CEO와 CFO를 역임했습니다. Ian Wright는 얼마 지나지 않아 합류했습니다. 2004년 2월, Elon Musk는 750만 달러의 시리즈 A 자금 조달을 주도하여 회장 겸 최대 주주가 되었습니다. J. B. Straubel은 2004년 5월 CTO로 합류했습니다. 다섯 명 모두 공동 설립자로 인정받고 있습니다.\n\n### Roadster (2005–2009)', '<2-hop>\n\n2024년 12월, 델라웨어 법원은 부적절한 이사회 승인을 이유로 Elon Musk의 560억 달러 급여 패키지를 거부했습니다.\n\n## 자동차 제품 및 서비스\n\n2024년 11월 현재 Tesla는 Model S, Model X, Model 3, Model Y, Semi 및 Cybertruck의 6가지 차량 모델을 제공합니다. 다음은 Tesla 모델 목록입니다.']","Elon Musk는 2004년 2월에 750만 달러의 시리즈 A 자금 조달을 주도하여 Tesla의 회장 겸 최대 주주가 되었으며, 공동 설립자 중 한 명으로 인정받았습니다. 그러나 2024년 12월, 델라웨어 법원은 부적절한 이사회 승인을 이유로 Elon Musk의 560억 달러 급여 패키지를 거부하는 결정을 내렸습니다.",multi_hop_specific_query_synthesizer
